sex,Qualification,Start Salary,Promotion,Awards,Current Salary,Experienced Gender Inequality?,What inequality?,Would you be in a different position if you were of opposite sex,Why do you think so?,Rate your career satisfaction,years of experience
Female,"BA, D.Ed.",3870,No,No,87721.0,No,Not defined,No,Not defined,9,24
Male,"MA, B.Ed., DSM.",3400,No,No,88000.0,No,Not defined,No,Not defined,9,26
Male,"BA, D.Ed.",3870,No,No,58600.0,Yes,Flexibility to Female in work,Yes,There is more scope for females in India.,6,24
Female,"BA, D.Ed.",4200,No,No,56900.0,No,Not defined,No,Not defined,8,22
Male,"BA, D.Ed.",2000,No,No,49500.0,No,Not defined,No,Not defined,8,51
Male,"BA, D.Ed.",6500,No,No,87000.0,No,Not defined,No,Not defined,10,24
Male,"BA, D.Ed.",2200,No,No,50000.0,No,Not defined,No,"No matter what gender, I would have been in a different position. Because duties of caring for a family come before concentrating on a profession.",4,26
Female,"BA, D.Ed.",3000,No,No,73000.0,No,Not defined,No,Not defined,8,20
Female,"MA, D.Ed.",975,Subject Teacher,No,60000.0,No,No,No,No,10,27
Female,"BA, D.Ed.",1200,Subject Teacher,No,64100.0,No,No,No,No,9,30
Female,"MA, D.Ed.",3000,No,No,45000.0,No,Not defined,No,Not defined,10,11
Female,"MA, D.Ed.",3000,No,No,52000.0,No,Not defined,No,Not defined,8,19
Male,"BA, B.Ed.",3000,No,No,58000.0,No,Not defined,No,Not defined,10,10
Female,"MA, B.Ed.",1800,Subject Teacher,No,61000.0,No,Not defined,No,Not defined,10,29
Male,"MA, B.Ed.",1530,Subject Teacher,No,89188.0,Yes,"Female employees are never appointed for work in place of trouble, although the pay is equal.",Yes,Not defined,9,30
Female,"B.Sc., B.Ed.",2840,No,No,61000.0,No,Not defined,No,Not defined,10,19
Female,"BA, B.Ed.",1200,Subject Teacher,No,62200.0,No,No,No,No,10,27
Female,"MA, D.Ed.",3000,No,No,50000.0,No,Not defined,No,Not defined,9,19
Female,"BA, B.Ed.",2072,Graduate Teacher,Zilha Adarsh â€‹â€‹teacher,63000.0,No,Not defined,No,Not defined,10,30
Female,"BA, D.Ed.",3000,No,No,53000.0,No,Not defined,No,Not defined,10,20
Male,"B.Sc., B.Ed.",3000,No,No,75000.0,No,Not defined,No,Not defined,10,20
Female,"BA, D.Ed.",3000,No,No,53000.0,No,Not defined,No,Not defined,10,20
